Year,State,Evs,Infrastructure,Electricity_Price,Gas_Price,Median_Income,Political_Control,Car_Price_Difference,Lithium_Price,EV_Range,Combined_EV_Tax_Credit,Motor_Fuel_Tax,HOV_Access
2014,AL,0.4895,0.1941,11.78,2.5543,51140,0.1832,2958,356,84,7500,18,0
2015,AL,0.6306,0.4184,12,1.6128,53880,0.1832,1539,325,90,7500,18,0
2016,AL,0.8656,0.4667,12.56,1.3908,56660,0.1832,6108,298,218,7500,18,0
2017,AL,1.1981,0.6565,12.73,1.5993,59980,0.174,3021,261,194,7500,18,0
2018,AL,2.2731,0.8082,12.42,1.8645,57720,0.1649,1504,229,213,7500,18,0
2019,AL,3.7384,1.032,12.96,1.7092,64010,0.1649,18661,211,239,7500,26,0
2020,AL,5.2307,1.1845,13.07,1.214,61650,0.1649,3897,190,259,7500,26,0
2021,AL,8.3934,1.3464,13.81,2.0754,61390,0.1649,11281,169,234,7500,26,0
2022,AL,13.8316,1.6713,15.19,2.696,59910,0.1649,17197,153,257,7500,30,0
2014,AZ,2.985,1.1604,11.99,2.6542,59580,0.2667,2958,356,84,7500,18,1
2015,AZ,4.2491,1.1919,12.22,1.7722,63250,0.275,1539,325,90,7500,18,1
2016,AZ,6.0437,1.4638,12.16,1.4844,68510,0.2833,6108,298,218,7500,18,1
2017,AZ,8.5477,1.5133,12.85,1.716,70390,0.2944,3021,261,194,7500,18,1
2018,AZ,16.1916,1.7128,13.26,2.0882,71990,0.3056,1504,229,213,7500,18,1
2019,AZ,25.0415,2.0278,12.91,2.0333,80500,0.3111,18661,211,239,7500,18,1
2020,AZ,33.6414,2.474,12.14,1.4593,75620,0.3167,3897,190,259,7500,18,1
2021,AZ,49.7299,3.1035,12.83,2.2898,76370,0.3167,11281,169,234,7500,18,1
2022,AZ,73.0889,3.5815,13.1,2.966,73450,0.3167,17197,153,257,7500,18,1
2014,AR,0.2527,0.1921,9.84,2.5331,54340,0.5581,2958,356,84,7500,21.5,0
2015,AR,0.3526,0.2183,10,1.6098,51810,0.3669,1539,325,90,7500,21.5,0
2016,AR,0.4983,0.3044,9.85,1.3498,55080,0.1757,6108,298,218,7500,21.5,0
2017,AR,0.7363,0.3765,10.11,1.5837,58660,0.174,3021,261,194,7500,21.5,0
